WOA_measurement_Species_Plant_Leaf	Rownames	Measurement	Family	Species	Species_short	Gender	Plant	GF	VPL	LL	LW	LA	LV	LLSH	SHL	CSW	CH	MEX	ML	MH	MW	MA	MTC	CS	CL	CW	CA	CV	MV	LVTMV	LVTMVP	LDMC	SLA	DSLM	FSLM	VPL-W	C-W	FLM-W	DLM-W	FSLM-W	DSLM-W	FWPM-W	DWPM-W	FSM-W	DSM-W	BL-W	BSP-W	LDMC-W	CL-C	CW-C	CH-C
WOA_microscopy_Hypnum.cupressiforme_Plant3_Leaf1	H. cupressifomre_L7	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 3	pleurocarp	27.49	2375.312	820.351	1231788.946	11222418.491			708.453	9.111	FALSE						prosenchymatic	49.267	5.114	251.968	2295.595				648.211	4.78076127246631	0.006	0.010																
WOA_microscopy_Hypnum.cupressiforme_Plant3_Leaf2	H. cupressifomre_L8	microscopy	Hypnaceae	Hypnum cupressiforme	H. cupressiforme	none	Plant 3	pleurocarp	27.49	2060.790	894.604	1077836.381	9819807.988			708.453	9.111	FALSE						prosenchymatic	55.706	4.698	261.725	2384.492				648.211	5.46362044619914	0.006	0.010																
WOA_microscopy_Grimmia.pulvinata_Plant1_Leaf1	G. pulvinata_L1	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 1	apocarp	9.2	2528.057	554.75	1271568.664	22536011.432	4500.084	1972.027	822.823	17.723	TRUE	2528.057	56.421	82.082	3637.295544	10.02440243	square	12.95	6.589	85.323	1512.184	3065096.820	7.352	13.601	735.646	8.44101749060823	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant1_Leaf2	G. pulvinata_L2	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 1	apocarp	9.2	2196.197	514.254	1531067.284	27135105.474	2736.967	540.77	822.823	17.723	TRUE	2196.197	56.421	82.082	3637.295544	10.02440243	square	13.982	9.378	131.128	2323.979	2662739.187	10.191	9.813	735.646	7.01036031890897	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant1_Leaf3	G. pulvinata_L3	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 1	apocarp	9.2	2747.159	672.802	1048900.876	18589670.225	4893.727	2146.568	822.823	17.723	TRUE	2747.159	56.421	82.082	3637.295544	10.02440243	square	12.321	7.409	91.284	1617.823	3330743.063	5.581	17.917	735.646	10.23293390149990	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant2_Leaf1	G. pulvinata_L4	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 2	apocarp	9.82	2200.086	527.916	1132689.43	20074654.768	3332.109	1132.023	822.823	17.723	TRUE	2200.086	56.421	82.082	3637.295544	10.02440243	square	13.934	6.854	95.506	1692.653	2667454.334	7.526	13.288	735.646	9.47597200879092	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant2_Leaf2	G. pulvinata_L5	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 2	apocarp	9.82	2648.97	623.605	1507193.652	26711993.094	3788.893	1139.923	822.823	17.723	TRUE	2648.97	56.421	82.082	3637.295544	10.02440243	square	16.374	7.04	115.273	2042.983	3211695.592	8.317	12.023	735.646	7.12140295912906	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant2_Leaf3	G. pulvinata_L6	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 2	apocarp	9.82	1824.761	623.444	1031407.151	18279628.937	2899.166	1074.405	822.823	17.723	TRUE	1824.761	56.421	82.082	3637.295544	10.02440243	square	27.293	7.643	208.607	3697.141	2212398.351	8.262	12.103	735.646	10.40649497429490	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant3_Leaf1	G. pulvinata_L7	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 3	apocarp	9.54	2430.231	624.302	1355454.238	24022715.460	4393.41	1963.179	822.823	17.723	TRUE	2430.231	56.421	82.082	3637.295544	10.02440243	square	11.03	6.709	74.000	1311.507	2946489.462	8.153	12.265	735.646	7.91862464436320	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant3_Leaf2	G. pulvinata_L8	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 3	apocarp	9.54	2055.142	487.866	1521037.415	26957346.106	2731.987	676.845	822.823	17.723	TRUE	2055.142	56.421	82.082	3637.295544	10.02440243	square	16.022	7.908	126.705	2245.587	2491719.613	10.819	9.243	735.646	7.05658731828982	0.011	0.015																
WOA_microscopy_Grimmia.pulvinata_Plant3_Leaf3	G. pulvinata_L9	microscopy	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 3	apocarp	9.54	2364.149	675.808	874656.147	15501530.893	4509.606	2145.457	822.823	17.723	TRUE	2364.149	56.421	82.082	3637.295544	10.02440243	square	14.058	6.731	94.631	1677.151	2866369.541	5.408	18.491	735.646	12.27148905332430	0.011	0.015																
WOA_weight_Plagiomnium.undulatum_f_Plant1_Leaves	P. undulatum_f_w1	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																												54.14						21.04	11.37			9.67	45.96				
WOA_weight_Plagiomnium.undulatum_f_Plant2_Leaves	P. undulatum_f_w2	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																												55.91						33.80	16.66			17.14	50.71				
WOA_weight_Plagiomnium.undulatum_f_Plant3_Leaves	P. undulatum_f_w3	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																												66.00						44.25	18.22			26.03	58.82				
WOA_weight_Plagiomnium.undulatum_f_Plant1_noLeaves	P. undulatum_f_w4	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																												55.38						40.38		8.55	7.88	0.67	1.66				
WOA_weight_Plagiomnium.undulatum_f_Plant2_noLeaves	P. undulatum_f_w5	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																												51.76						109.09		20.30	15.56	4.74	4.35				
WOA_weight_Plagiomnium.undulatum_f_Plant3_noLeaves	P. undulatum_f_w6	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																												40.03						78.61		19.38	6.38	13.00	16.54				
WOA_weight_Plagiomnium.undulatum_f_onlyLeaves1	P. undulatum_f_w7	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female		apocarp																													30	54.04	6.39	1.80133	0.21300					47.65	88.18	118.25			
WOA_weight_Plagiomnium.undulatum_f_onlyLeaves2	P. undulatum_f_w8	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female		apocarp																													30	48.70	3.91	1.62333	0.13033					44.79	91.97	80.29			
WOA_weight_Plagiomnium.undulatum_f_onlyLeaves3	P. undulatum_f_w9	weight	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female		apocarp																													30	80.39	4.63	2.67967	0.15433					75.76	94.24	57.59			
WOA_weight_Plagiomnium.undulatum_m_Plant1_Leaves	P. undulatum_m_w1	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																												66.34						32.32	8.83			23.49	72.68				
WOA_weight_Plagiomnium.undulatum_m_Plant2_Leaves	P. undulatum_m_w2	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																												34.14						12.04	4.83			7.21	59.88				
WOA_weight_Plagiomnium.undulatum_m_Plant3_Leaves	P. undulatum_m_w3	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																												37.89						68.55	6.83			61.72	90.04				
WOA_weight_Plagiomnium.undulatum_m_Plant4_Leaves	P. undulatum_m_w4	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 4	apocarp																												25.76						17.58	2.58			15.00	85.32				
WOA_weight_Plagiomnium.undulatum_m_Plant1_noLeaves	P. undulatum_m_w5	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																												38.54						43.97		13.21	7.40	5.81	13.21				
WOA_weight_Plagiomnium.undulatum_m_Plant2_noLeaves	P. undulatum_m_w6	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																												35.59						15.41		4.68	2.22	2.46	15.96				
WOA_weight_Plagiomnium.undulatum_m_Plant3_noLeaves	P. undulatum_m_w7	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																												41.28						13.76		5.41	2.84	2.57	18.68				
WOA_weight_Plagiomnium.undulatum_m_onlyLeaves1	P. undulatum_m_w8	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male		apocarp																													30	52.00	4.30	1.73333	0.14333					47.70	91.73	82.69			
WOA_weight_Plagiomnium.undulatum_m_onlyLeaves2	P. undulatum_m_w9	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male		apocarp																													30	27.33	2.45	0.91107	0.08167					24.88	91.04	89.64			
WOA_weight_Plagiomnium.undulatum_m_onlyLeaves3	P. undulatum_m_w10	weight	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male		apocarp																													30	44.90	2.69	1.49667	0.08967					42.21	94.01	59.91			
WOA_weight_Bryum.sp._Plant1_Leaves	Bryum sp._w1	weight	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																												25.06						6.20	1.61			4.59	74.03				
WOA_weight_Bryum.sp._Plant2_Leaves	Bryum sp._w2	weight	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																												31.84						3.55	0.68			2.87	80.85				
WOA_weight_Bryum.sp._Plant3_Leaves	Bryum sp._w3	weight	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																												28.74						8.19	1.26			6.93	84.62				
WOA_weight_Bryum.sp._Plant1_noLeaves	Bryum sp._w4	weight	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																												27.70						4.54		0.77	0.72	0.05	1.10				
WOA_weight_Bryum.sp._Plant2_noLeaves	Bryum sp._w5	weight	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																												25.39						2.60		1.63	0.48	1.15	44.23				
WOA_weight_Bryum.sp._Plant3_noLeaves	Bryum sp._w6	weight	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																												30.53						5.33		3.62	0.85	2.77	51.97				
WOA_weight_Bryum.sp._onlyLeaves1	Bryum sp._w7	weight	Bryaceae	Bryum sp.	Bryum sp.	none		apocarp																													50	1.29	0.23	0.02580	0.00460					1.06	82.17	178.29			
WOA_weight_Bryum.sp._onlyLeaves2	Bryum sp._w8	weight	Bryaceae	Bryum sp.	Bryum sp.	none		apocarp																													50	3.06	1.25	0.06120	0.02500					1.81	59.15	408.50			
WOA_weight_Bryum.sp._onlyLeaves3	Bryum sp._w9	weight	Bryaceae	Bryum sp.	Bryum sp.	none		apocarp																													50	3.37	1.06	0.06740	0.02120					2.31	68.55	314.54			
WOA_weight_Homalothecium.lutescens_Plant1_Leaves	H. lutescens_w1	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																												36.8						47.20	13.82			33.38	70.72				
WOA_weight_Homalothecium.lutescens_Plant2_Leaves	H. lutescens_w2	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																												22.96						13.83	5.97			7.86	56.83				
WOA_weight_Homalothecium.lutescens_Plant3_Leaves	H. lutescens_w3	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																												37.08						9.65	7.92			1.73	17.93				
WOA_weight_Homalothecium.lutescens_Plant1_noLeaves	H. lutescens_w4	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																												39.92						21.66		10.81	7.66	3.15	14.54				
WOA_weight_Homalothecium.lutescens_Plant2_noLeaves	H. lutescens_w5	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																												27.5						25.52		9.93	3.16	6.77	26.53				
WOA_weight_Homalothecium.lutescens_Plant3_noLeaves	H. lutescens_w6	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																												34.11						7.66		2.94	2.34	0.60	7.83				
WOA_weight_Homalothecium.lutescens_onlyLeaves1	H. lutescens_w7	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none		pleurocarp																													60	0.57	0.41	0.00950	0.00683					0.16	28.07	719.30			
WOA_weight_Homalothecium.lutescens_onlyLeaves2	H. lutescens_w8	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none		pleurocarp																													60	0.48	0.3	0.00800	0.00500					0.18	37.50	625.00			
WOA_weight_Homalothecium.lutescens_onlyLeaves3	H. lutescens_w9	weight	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none		pleurocarp																													60	0.21	0.17	0.00350	0.00283					0.04	19.05	809.52			
WOA_weight_Brachythecium.rutabulum_Plant1_Leaves	B. rutabulum_w1	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																												18.23						1.34	0.97			0.37	27.61				
WOA_weight_Brachythecium.rutabulum_Plant2_Leaves	B. rutabulum_w2	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 2	pleurocarp																												26.84						6.61	3.22			3.39	51.29				
WOA_weight_Brachythecium.rutabulum_Plant3_Leaves	B. rutabulum_w3	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 3	pleurocarp																												17.55						2.48	1.62			0.86	34.68				
WOA_weight_Brachythecium.rutabulum_Plant1_noLeaves	B. rutabulum_w4	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																												16.52						6.91		3.92	1.33	2.59	37.48				
WOA_weight_Brachythecium.rutabulum_Plant2_noLeaves	B. rutabulum_w5	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 2	pleurocarp																												19.57						1.81		1.78	0.40	1.38	76.24				
WOA_weight_Brachythecium.rutabulum_Plant3_noLeaves	B. rutabulum_w6	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 3	pleurocarp																												18.54						1.8		1.5	0.58	0.92	51.11				
WOA_weight_Brachythecium.rutabulum_onlyLeaves1	B. rutabulum_w7	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none		pleurocarp																													70	0.54	0.29	0.00771	0.00414					0.25	46.30	537.04			
WOA_weight_Brachythecium.rutabulum_onlyLeaves2	B. rutabulum_w8	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none		pleurocarp																													70	0.48	0.22	0.00686	0.00314					0.26	54.17	458.33			
WOA_weight_Brachythecium.rutabulum_onlyLeaves3	B. rutabulum_w9	weight	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none		pleurocarp																													70	0.57	0.34	0.00814	0.00486					0.23	40.35	596.49			
WOA_weight_Rhytidiadelphus_squarrosus_Plant1_Leaves	R. squarrosus_w1	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none	Plant 1	pleurocarp																												36.53						18.26	1.78			16.48	90.25				
WOA_weight_Rhytidiadelphus_squarrosus_Plant2_Leaves	R. squarrosus_w2	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none	Plant 2	pleurocarp																												38.77						40.32	7.18			33.14	82.19				
WOA_weight_Rhytidiadelphus_squarrosus_Plant3_Leaves	R. squarrosus_w3	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none	Plant 3	pleurocarp																												33.55						29.29	6.24			23.05	78.70				
WOA_weight_Rhytidiadelphus_squarrosus_Plant1_noLeaves	R. squarrosus_w4	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none	Plant 1	pleurocarp																												51.07						27.35		2.77	2.34	0.43	1.57				
WOA_weight_Rhytidiadelphus_squarrosus_Plant2_noLeaves	R. squarrosus_w5	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none	Plant 2	pleurocarp																												48.4						19.79		1.99	1.82	0.17	0.86				
WOA_weight_Rhytidiadelphus_squarrosus_Plant3_noLeaves	R. squarrosus_w6	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none	Plant 3	pleurocarp																												54.26						37.61		4.27	3.75	0.52	1.38				
WOA_weight_Rhytidiadelphus_squarrosus_onlyLeaves1	R. squarrosus_w7	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none		pleurocarp																													50	1.29	0.8	0.02580	0.01600					0.49	37.98	620.16			
WOA_weight_Rhytidiadelphus_squarrosus_onlyLeaves2	R. squarrosus_w8	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none		pleurocarp																													50	0.77	0.45	0.01540	0.00900					0.32	41.56	584.42			
WOA_weight_Rhytidiadelphus_squarrosus_onlyLeaves3	R. squarrosus_w9	weight	Hylocomiaceae	Rhytidiadelphus squarrosus	H. cupressiforme	none		pleurocarp																													50	0.86	0.7	0.01720	0.01400					0.16	18.60	813.95			
WOA_weight_Hypnum_cupressiforme_Plant1_Leaves	H. cupressiforme_w1	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none	Plant 1	pleurocarp																												26.19						5.7	2.14			3.56	62.46				
WOA_weight_Hypnum_cupressiforme_Plant2_Leaves	H. cupressiforme_w2	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none	Plant 2	pleurocarp																												28.91						5.03	1.72			3.31	65.81				
WOA_weight_Hypnum_cupressiforme_Plant3_Leaves	H. cupressiforme_w3	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none	Plant 3	pleurocarp																												17.5						2.35	0.93			1.42	60.43				
WOA_weight_Hypnum_cupressiforme_Plant1_noLeaves	H. cupressiforme_w4	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none	Plant 1	pleurocarp																												31.43						7.8		0.58	0.53	0.05	0.64				
WOA_weight_Hypnum_cupressiforme_Plant2_noLeaves	H. cupressiforme_w5	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none	Plant 2	pleurocarp																												21.81						1.23		0.65	0.51	0.14	11.38				
WOA_weight_Hypnum_cupressiforme_Plant3_noLeaves	H. cupressiforme_w6	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none	Plant 3	pleurocarp																												20.32						9.28		0.53	0.38	0.15	1.62				
WOA_weight_Hypnum_cupressiforme_onlyLeaves1	H. cupressiforme_w7	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none		pleurocarp																													60	0.41	0.35	0.00683	0.00583					0.06	14.63	853.66			
WOA_weight_Hypnum_cupressiforme_onlyLeaves2	H. cupressiforme_w8	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none		pleurocarp																													60	0.67	0.38	0.01117	0.00633					0.29	43.28	567.16			
WOA_weight_Hypnum_cupressiforme_onlyLeaves3	H. cupressiforme_w9	weight	Hypnaceae	Hypnum cupressiforme	R. squarrosus	none		pleurocarp																													60	0.63	0.33	0.01050	0.00550					0.30	47.62	523.81			
WOA_weight_Grimmia_pulvinata_Plant1_Leaves	G. pulvinata_w1	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 1	apocarp																												7.99						2.69	0.69			2.00	74.35				
WOA_weight_Grimmia_pulvinata_Plant2_Leaves	G. pulvinata_w2	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 2	apocarp																												11.67						3.19	1			2.19	68.65				
WOA_weight_Grimmia_pulvinata_Plant3_Leaves	G. pulvinata_w3	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 3	apocarp																												11.64						3.83	1.26			2.57	67.10				
WOA_weight_Grimmia_pulvinata_Plant1_noLeaves	G. pulvinata_w4	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 1	apocarp																												9.91						3.08		0.23	0.13	0.10	3.25				
WOA_weight_Grimmia_pulvinata_Plant2_noLeaves	G. pulvinata_w5	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 2	apocarp																												9.76						3.05		0.18	0.07	0.11	3.61				
WOA_weight_Grimmia_pulvinata_Plant3_noLeaves	G. pulvinata_w6	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none	Plant 3	apocarp																												12.48						5.64		0.3	0.26	0.04	0.71				
WOA_weight_Grimmia_pulvinata_onlyLeaves1	G. pulvinata_w7	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none		apocarp																													50	0.66	0.56	0.01320	0.01120					0.10	15.15	848.48			
WOA_weight_Grimmia_pulvinata_onlyLeaves2	G. pulvinata_w8	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none		apocarp																													50	0.63	0.55	0.01260	0.01100					0.08	12.70	873.02			
WOA_weight_Grimmia_pulvinata_onlyLeaves3	G. pulvinata_w9	weight	Grimmiaceae	Grimmia pulvinata	G. pulvinata	none		apocarp																													50	1.03	0.5	0.02060	0.01000					0.53	51.46	485.44			
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell1	P. undulatum_f_c1	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									24.280	13.138	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell2	P. undulatum_f_c2	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									17.806	13.696	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell3	P. undulatum_f_c3	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									24.315	11.538	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell_Average	P. undulatum_f_c4	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									22.134	12.791	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell1	P. undulatum_f_c5	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									22.926	15.821	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell2	P. undulatum_f_c6	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									27.825	11.326	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell3	P. undulatum_f_c7	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									19.675	12.572	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell_Average	P. undulatum_f_c8	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									23.475	13.240	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell1	P. undulatum_f_c9	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									20.591	12.036	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell2	P. undulatum_f_c10	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									37.138	19.030	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell3	P. undulatum_f_c11	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									27.954	17.420	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell_Average	P. undulatum_f_c12	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp																square																									28.561	16.162	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell1	P. undulatum_f_c13	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									22.404	17.762	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell2	P. undulatum_f_c14	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									27.149	12.166	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell3	P. undulatum_f_c15	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									23.480	9.667	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell_Average	P. undulatum_f_c16	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									24.344	13.198	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2_Cell1	P. undulatum_f_c17	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									24.361	16.594	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2_Cell2	P. undulatum_f_c18	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									27.248	14.874	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2_Cell3	P. undulatum_f_c19	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									25.856	12.901	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2_Cell_Average	P. undulatum_f_c20	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									25.822	14.790	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf3_Cell1	P. undulatum_f_c21	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									21.018	12.973	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf3_Cell2	P. undulatum_f_c22	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									20.063	10.008	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf3_Cell3	P. undulatum_f_c23	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									16.990	9.017	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf3_Cell_Average	P. undulatum_f_c24	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp																square																									19.357	10.666	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf1_Cell1	P. undulatum_f_c25	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									28.710	14.874	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf1_Cell2	P. undulatum_f_c26	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									33.528	18.347	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf1_Cell3	P. undulatum_f_c27	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									29.867	11.577	28.986
